Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Luxembourg,European Region of WHO,South West Europe,2009,1,12/29/2008,1/4/2009,,11,,,,,4,4,,,,,4,,Regional Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,2,1/5/2009,1/11/2009,,28,,,,,15,15,,,,,15,,Widespread Outbreak
Luxembourg,European Region of WHO,South West Europe,2009,3,1/12/2009,1/18/2009,,92,,,,,58,58,,,,,58,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,4,1/19/2009,1/25/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,5,1/26/2009,2/1/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,6,2/2/2009,2/8/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,7,2/9/2009,2/15/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,8,2/16/2009,2/22/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,9,2/23/2009,3/1/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,10,3/2/2009,3/8/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,11,3/9/2009,3/15/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,12,3/16/2009,3/22/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,13,3/23/2009,3/29/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,14,3/30/2009,4/5/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,15,4/6/2009,4/12/2009,,,,,,,,,,,,,,,No Report
Luxembourg,European Region of WHO,South West Europe,2009,16,4/13/2009,4/19/2009,,7,0,0,0,,0,0,,,2,2,2,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,17,4/20/2009,4/26/2009,,1,0,0,0,,0,0,,,0,0,0,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,18,4/27/2009,5/3/2009,,10,0,0,0,,0,0,,,1,1,1,,No Activity
Luxembourg,European Region of WHO,South West Europe,2009,19,5/4/2009,5/10/2009,,18,0,0,3,,0,3,,,0,0,3,,Sporadic
Luxembourg,European Region of WHO,South West Europe,2009,20,5/11/2009,5/17/2009,,7,0,0,2,,0,2,,,0,0,2,,Sporadic
