Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Malta,European Region of WHO,South West Europe,2009,41,10/5/2009,10/11/2009,,47,0,16,0,,5,21,0,0,0,0,21,,Regional Outbreak
Malta,European Region of WHO,South West Europe,2009,42,10/12/2009,10/18/2009,,0,0,0,0,,0,0,0,0,0,0,0,,Regional Outbreak
Malta,European Region of WHO,South West Europe,2009,43,10/19/2009,10/25/2009,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2009,44,10/26/2009,11/1/2009,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2009,45,11/2/2009,11/8/2009,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2009,46,11/9/2009,11/15/2009,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2009,47,11/16/2009,11/22/2009,,0,0,0,0,,0,0,0,0,0,0,0,,Regional Outbreak
Malta,European Region of WHO,South West Europe,2009,48,11/23/2009,11/29/2009,,0,0,0,0,,0,0,0,0,0,0,0,,Regional Outbreak
Malta,European Region of WHO,South West Europe,2009,49,11/30/2009,12/6/2009,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2009,50,12/7/2009,12/13/2009,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2009,51,12/14/2009,12/20/2009,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2009,52,12/21/2009,12/27/2009,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2009,53,12/28/2009,1/3/2010,,0,0,0,0,,0,0,0,0,0,0,0,,No Report
Malta,European Region of WHO,South West Europe,2010,1,1/4/2010,1/10/2010,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2010,2,1/11/2010,1/17/2010,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2010,3,1/18/2010,1/24/2010,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2010,4,1/25/2010,1/31/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,5,2/1/2010,2/7/2010,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2010,6,2/8/2010,2/14/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,7,2/15/2010,2/21/2010,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2010,8,2/22/2010,2/28/2010,,0,0,0,0,,0,0,0,0,0,0,0,,Local Outbreak
Malta,European Region of WHO,South West Europe,2010,9,3/1/2010,3/7/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,10,3/8/2010,3/14/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,11,3/15/2010,3/21/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,12,3/22/2010,3/28/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,13,3/29/2010,4/4/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,14,4/5/2010,4/11/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,15,4/12/2010,4/18/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,16,4/19/2010,4/25/2010,,,,,,,,,,,,,,,No Report
Malta,European Region of WHO,South West Europe,2010,17,4/26/2010,5/2/2010,,,,,,,,,,,,,,,No Report
